category,products,avg_price,avg_rating,reviews,avg_discount
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|Irons|SteamIrons",12,3071.25,4.033333333333333,37974128248812112768131601393229919546111899771,23.833333333333332
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Irons,Steamers&Accessories|LintShavers",22,505.6363636363636,4.036363636363636,35784859257900354360412466101660132290213879101510213861367101229822,51.31818181818182
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|PressureWashers,Steam&WindowCleaners",2,4844.0,4.199999999999999,1017297,46.5
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|VacuumAccessories|VacuumBags|HandheldBags",1,253.0,4.3,2664,49.0
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|CanisterVacuums",2,3299.0,4.05,3293111935,31.5
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|HandheldVacuums",7,2177.714285714286,3.942857142857143,14368463743992326687260,35.57142857142857
"Home&Kitchen|Kitchen&HomeAppliances|Vacuum,Cleaning&Ironing|Vacuums&FloorCare|Vacuums|Wet-DryVacuums",1,3199.0,4.0,3242,47.0
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterCartridges,3,793.0,4.033333333333333,1325025937786,3.0
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterFilters&Purifiers,3,1398.6666666666667,3.9,3160114561888,6.333333333333333
Home&Kitchen|Kitchen&HomeAppliances|WaterPurifiers&Accessories|WaterPurifierAccessories,11,409.54545454545456,3.9181818181818184,10907474037324614361306100449013791591090,40.81818181818182
HomeImprovement|Electrical|Adapters&Multi-Outlets,1,425.0,4.0,2581,57.0
HomeImprovement|Electrical|CordManagement,1,249.0,4.5,5985,58.0
MusicalInstruments|Microphones|Condenser,2,638.0,3.9,6866420218,46.0
OfficeProducts|OfficeElectronics|Calculators|Basic,1,440.0,4.5,8610,0.0
OfficeProducts|OfficeElectronics|Calculators|Financial&Business,1,535.0,4.4,4426,0.0
OfficeProducts|OfficeElectronics|Calculators|Scientific,2,908.5,4.45,576012179,2.5
OfficeProducts|OfficePaperProducts|Paper|Copy&PrintingPaper|ColouredPaper,1,99.0,4.3,388,0.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries",1,1399.0,4.3,3530,53.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|CompositionNotebooks",7,227.14285714285714,4.371428571428572,378580533182126941916744951,12.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|Notepads&MemoBooks",2,144.0,4.25,93447429,62.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Notebooks,WritingPads&Diaries|WireboundNotebooks",4,141.25,4.4,8618653789384428,5.75
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|BottledInk",2,95.0,4.3,30953061,5.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|FountainPens",1,225.0,4.1,4798,0.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|GelInkRollerballPens",2,150.0,4.25,57922628,0.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|LiquidInkRollerballPens",2,255.0,4.15,61991926,5.0
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|RetractableBallpointPens",2,329.0,4.3,57192450,17.5
"OfficeProducts|OfficePaperProducts|Paper|Stationery|Pens,Pencils&WritingSupplies|Pens&Refills|StickBallpointPens",3,244.33333333333334,4.133333333333333,430836862493,13.0
Toys&Games|Arts&Crafts|Drawing&PaintingSupplies|ColouringPens&Markers,1,150.0,4.3,15867,0.0
